Year,Status,Role,Department,Director,Manager,Supervisor,Lead,Staff,Question,Answer_Numeric,Answer_Text
2021 May,Complete,Staff Member,Assessor-Treasurer's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Staff Member,Finance and Performance Management,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Finance and Performance Management,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Juvenile Court,False,False,False,False,True,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Staff Member,Sheriff's Department,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Juvenile Court,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Sheriff's Department,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Finance and Performance Management,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Emergency Management,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Sheriff's Department,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Sheriff's Department,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Assessor-Treasurer's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Assessor-Treasurer's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Staff Member,Finance and Performance Management,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Finance and Performance Management,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Finance and Performance Management,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,District Court,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Sheriff's Department,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Human Services,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Assessor-Treasurer's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Sheriff's Department,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Human Services,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Prosecuting Attorney's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Human Services,False,False,False,False,True,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Assessor-Treasurer's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Finance and Performance Management,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Superior Court,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,District Court,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Parks and Recreation,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Emergency Management,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Assessor-Treasurer's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Human Resources,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Human Resources,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Human Resources,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Finance and Performance Management,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Family Justice Center,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Prosecuting Attorney's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,District Court,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Parks and Recreation,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Emergency Management,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Communications Office,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Economic Development,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Council's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Juvenile Court,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Parks and Recreation,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Human Services,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Juvenile Court,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Staff Member,Superior Court,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Juvenile Court,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Communications Office,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,District Court,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,District Court,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Parks and Recreation,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Parks and Recreation,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Human Services,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Parks and Recreation,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Human Services,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Family Justice Center,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Finance and Performance Management,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Juvenile Court,False,False,False,False,True,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Staff Member,Juvenile Court,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Sheriff's Department,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Prosecuting Attorney's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Sheriff's Department,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Prosecuting Attorney's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Prosecuting Attorney's Office,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Assigned Council,False,False,False,False,True,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Staff Member,Planning and Public Works,False,False,False,False,True,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Juvenile Court,False,False,False,False,True,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Supervisor,Prosecuting Attorney's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Parks and Recreation,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Clerk of Superior Court,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Parks and Recreation,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Parks and Recreation,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Prosecuting Attorney's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,District Court,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Juvenile Court,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,0,Not Applicable
2021 May,Complete,Supervisor,Assigned Council,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,1,Strongly Disagree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,District Court,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Superior Court,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Prosecuting Attorney's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Prosecuting Attorney's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Superior Court,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Superior Court,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Juvenile Court,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Parks and Recreation,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Juvenile Court,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Juvenile Court,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Assessor-Treasurer's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Parks and Recreation,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,2,Disagree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Parks and Recreation,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Facilities Management,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,District Court,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Human Services,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Prosecuting Attorney's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Finance and Performance Management,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Prosecuting Attorney's Office,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Planning and Public Works,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Sheriff's Department,False,False,True,False,False,06. There is someone at work who encourages my development.,0,Not Applicable
2021 May,Complete,Supervisor,Parks and Recreation,False,False,True,False,False,06. There is someone at work who encourages my development.,4,Strongly Agree
2021 May,Complete,Supervisor,Parks and Recreation,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
2021 May,Complete,Supervisor,Parks and Recreation,False,False,True,False,False,06. There is someone at work who encourages my development.,3,Agree
